id,producer,cuvée,segment,colour,style_principal,profil_cible,occasion_principale,accord_principal,budget_min_eur,budget_max_eur,priority,official_source_url,verification_status
29,Laherte Frères,Ultradition Brut,brut_non_millesime,blanc,vineux_frais,curieux et exigeant,repas,charcuterie et volaille,45,60,2,https://www.champagne-laherte.com/docs/en/fiche-technique-en-Brut_Ultradition.pdf,contrôlée vague 3
30,Chartogne-Taillet,Sainte-Anne,brut_non_millesime,blanc,vineux_minéral,terroir et gastronomie,repas,volaille rôtie,55,75,2,https://chartogne-taillet.com/en/vin/sainte-anne/details,contrôlée vague 3
31,Charles Dufour,Bulles de Comptoir #13 Cuisine du Dimanche,brut_non_millesime,blanc,vineux_naturel,amateur de vigneron,apéritif,fromages et tapas,80,110,2,https://leonandsonwine.com/products/nv-charles-dufour-bulles-de-comptoir-13-extra-brut-champagne-france,contrôlée source secondaire
32,Pierre Péters,Cuvée de Réserve,blanc_de_blancs,blanc,minéral_ciselé,amateur de blanc de blancs,apéritif,coquillages,60,80,2,https://www.champagne-pierre-peters.com/,à vérifier
33,Jacques Selosse,Initial,blanc_de_blancs,blanc,vineux_oxydatif,collectionneur et amateur,repas,volaille et vieux comté,300,450,3,https://www.jacquesselosse.com/,à vérifier
34,Laurent-Perrier,Cuvée Rosé,rose,rosé,fruité_croquant,cadeau rosé,célébration,saumon et dessert aux fruits rouges,80,100,1,https://www.laurent-perrier.com/fr/,à vérifier
35,Billecart-Salmon,Brut Rosé,rose,rosé,frais_fruits_rouges,rosé raffiné,cadeau,saumon et crustacés,75,95,1,https://www.billecart-salmon.com/,à vérifier
36,Ruinart,Rosé,rose,rosé,fruité_structuré,rosé de table,repas,thon et canard rosé,85,110,2,https://www.ruinart.com/fr-fr/,à vérifier
37,Bollinger,Rosé,rose,rosé,vineux_fruits_rouges,rosé de gastronomie,repas,canard et homard,85,110,2,https://www.champagne-bollinger.com/,à vérifier
38,Veuve Clicquot,Rosé,rose,rosé,fruité_structuré,rosé festif,célébration,saumon et charcuterie fine,55,70,2,https://www.veuveclicquot.com/fr-fr/,à vérifier
39,Moët & Chandon,Rosé Impérial,rose,rosé,fruité_gourmand,rosé accessible,célébration,apéritif et fruits rouges,50,65,2,https://www.moet.com/fr-fr/champagne/,à vérifier
40,Pommery,Apanage Rosé,rose,rosé,frais_fruité,rosé élégant,cadeau,poisson et dessert fruité,65,85,2,https://www.vranken-pommery.com/,à vérifier
41,Charles Heidsieck,Rosé Réserve,rose,rosé,riche_fruits_rouges,rosé gastronomique,repas,volaille et thon rouge,70,90,2,https://www.charlesheidsieck.com/,à vérifier
42,Krug,Grande Cuvée 174ème Édition,prestige,blanc,complexe_vineux,grand repas ou cadeau,célébration,homard et volaille truffée,220,300,1,https://www.krug.com/en-int/champagne/krug-grande-cuvee-174eme-edition,édition officielle confirmée
43,Dom Pérignon,Vintage 2015,prestige,blanc,complexe_tendu,grande occasion,cadeau,poisson noble et volaille,200,280,1,https://www.domperignon.com/en-us/product/vintage/2015,millésime officiel confirmé
44,Louis Roederer,Cristal 2016,prestige,blanc,complexe_minéral,grand cadeau,célébration,caviar et crustacés,300,420,2,https://www.louis-roederer.com/en/cristal2016,millésime officiel confirmé
45,Perrier-Jouët,Belle Époque 2015,prestige,blanc,floral_élégant,cadeau marquant,célébration,poisson et cuisine fine,160,220,1,https://www.perrier-jouet.com/fr-fr/fiche-produit-relative-aux-qualit%C3%A9s-ou-caract%C3%A9ristiques-environnementales-perrier-jou%C3%ABt,millésime identifié; disponibilité à contrôler
46,Taittinger,Comtes de Champagne Blanc de Blancs 2013,prestige,blanc,minéral_complexe,amateur de chardonnay,repas,homard et coquillages,220,320,2,https://taittinger.com/en/webzine/comtes-de-champagne-blanc-de-blancs-2013,millésime officiel confirmé
47,Bollinger,R.D. 2008,prestige,blanc,vineux_complexe,amateur averti,repas,gibier à plume et vieux parmesan,350,520,3,https://www.champagne-bollinger.com/en/wine/bollinger-rd-2008,millésime officiel confirmé
48,Philipponnat,Clos des Goisses 2015,prestige,blanc,puissant_minéral,grand repas,repas,volaille de Bresse,200,320,3,https://www.philipponnat.com/en/spotlight-on-the-2015-vintage/,millésime officiel confirmé
49,Salon,Salon 2015,prestige,blanc,minéral_intense,collectionneur,célébration,coquillages et caviar,1000,1600,3,https://www.champagne-salon.fr/en,millésime récent; disponibilité et source officielle directe à contrôler
50,Dom Pérignon,Rosé 2009,prestige,rosé,complexe_fruits_rouges,grand cadeau rosé,célébration,homard et canard,400,650,3,https://www.domperignon.com/en-us/product/rose/2009,millésime officiel confirmé
